status,status_fail,response_time_ms,http_status_code,hour,day,is_weekend,rolling_z_score,rt_percentile,rt_rolling_std,fail_diff,rt_diff,rt_drift,is_monolith,service_median_rt,rt_relative
1,0,217.0,200,2,4,0,,0.15478339350180506,,0.0,0.0,0.0,1,358.0,0.606145234465217
1,0,384.0,200,2,4,0,0.707106721306313,0.5473826714801444,118.08683245815344,0.0,167.0,0.0,1,358.0,1.0726256683624116
1,0,228.0,200,2,4,0,-0.5174645177170152,0.19494584837545126,93.40413980832612,0.0,-156.0,0.0,1,358.0,0.6368714905901819
1,0,466.0,200,2,4,0,1.1689093148150373,0.6633574007220217,121.69463148936906,0.0,238.0,0.0,1,358.0,1.3016759412939682
1,0,243.0,200,2,4,0,-0.5798609228155133,0.24097472924187727,111.40601420031147,0.0,-223.0,0.0,1,358.0,0.6787709307605886
1,0,1341.0,429,2,4,0,1.747250281061614,0.9566787003610109,462.784291003919,0.0,1098.0,52.56666666666666,1,358.0,3.7458099512343592
1,0,384.0,200,2,4,0,-0.32066774883693233,0.5473826714801444,462.784291003919,0.0,-957.0,66.25714285714281,1,358.0,1.0726256683624116
1,0,947.0,429,2,4,0,0.593583228202649,0.8763537906137184,456.21234091155407,0.0,563.0,149.95000000000005,1,358.0,2.645251322758343
1,0,331.0,200,2,4,0,-0.6693932180102588,0.4499097472924188,475.3558666935752,0.0,-616.0,144.6444444444445,1,358.0,0.9245809797603078
1,0,232.0,200,2,4,0,-0.8686999767433419,0.21164259927797835,477.72533949959154,0.0,-99.0,169.7,1,358.0,0.6480446746356237
1,0,600.0,429,2,4,0,0.355776712681368,0.7572202166064982,284.4480620429677,0.0,368.0,10.345454545454572,1,358.0,1.6759776068162682
1,0,284.0,200,2,4,0,-0.6542562097439846,0.33438628158844763,297.7426741332186,0.0,-316.0,7.383333333333326,1,358.0,0.7932960672263669
1,0,209.0,200,2,4,0,-0.7757564848458957,0.12364620938628158,157.52364901817123,0.0,-75.0,-120.03076923076924,1,358.0,0.5837988663743334
1,0,257.0,200,2,4,0,-0.3689775295108074,0.2644404332129964,160.98540306499842,0.0,48.0,-120.95714285714286,1,358.0,0.7178770749196348
1,0,226.0,200,2,4,0,-0.5513246109205995,0.18501805054151624,161.7921506130628,0.0,-31.0,-108.06666666666666,1,358.0,0.631284898567461
1,0,337.0,200,2,4,0,1.4706599018437458,0.4620938628158845,50.58952460737301,0.0,111.0,-155.27499999999998,1,358.0,0.9413407558284705
1,0,544.0,429,2,4,0,1.6703503427430617,0.7193140794223827,137.33644818474082,0.0,207.0,-110.69411764705882,1,358.0,1.519553030180083
1,0,205.0,200,2,4,0,-0.7877503812707354,0.1069494584837545,138.11480731623237,0.0,-339.0,-99.25555555555553,1,358.0,0.5726256823288915
1,0,251.0,200,2,4,0,-0.44394389891559827,0.25045126353790614,138.75626111999412,0.0,46.0,-91.92631578947368,1,358.0,0.7011172988514721
1,0,228.0,200,2,4,0,-0.6139544596995549,0.19494584837545126,138.44674066224889,0.0,-23.0,-82.69999999999999,1,358.0,0.6368714905901819
1,0,208.0,200,2,4,0,-0.5472137213987606,0.12003610108303249,144.73320282506015,0.0,-20.0,-108.05000000000001,1,358.0,0.581005570362973
1,0,209.0,200,2,4,0,-0.5755328894978634,0.12364620938628158,19.460215826141198,0.0,1.0,-166.3,1,358.0,0.5837988663743334
1,0,397.0,200,2,4,0,1.7447424398155513,0.5785198555956679,79.3240190610637,0.0,188.0,-136.34999999999997,1,358.0,1.1089385165100973
1,0,254.0,200,2,4,0,-0.06560397093882793,0.25586642599277976,79.26348465718623,0.0,-143.0,-125.15000000000003,1,358.0,0.7094971868855535
1,0,260.0,200,2,4,0,-0.07236627133147912,0.2752707581227437,77.38410689540841,0.0,6.0,-119.59999999999997,1,358.0,0.7262569629537162
1,0,196.0,200,2,4,0,-0.8424584587343866,0.08167870036101083,79.76653433614874,0.0,-64.0,-64.75,1,358.0,0.5474860182266476
1,0,212.0,200,2,4,0,-0.6534904766890144,0.13673285198555957,79.26663863189857,0.0,16.0,-55.55000000000001,1,358.0,0.5921787544084147
1,0,222.0,200,2,4,0,-0.2477727829460099,0.16967509025270758,27.444489428663005,0.0,10.0,-54.30000000000001,1,358.0,0.6201117145220192
1,0,370.0,200,2,4,0,1.684682922074899,0.5257220216606499,70.0428440313498,0.0,148.0,-33.05000000000001,1,358.0,1.0335195242033652
1,0,489.0,200,2,4,0,1.4971255105982129,0.6836642599277978,127.71139338367581,0.0,119.0,-0.0999999999999659,1,358.0,1.3659217495552585
1,0,226.0,200,2,4,0,-0.6360149454617187,0.18501805054151624,122.32415951070334,0.0,-263.0,24.600000000000023,1,358.0,0.631284898567461
1,0,887.0,429,2,4,0,1.6354429057644697,0.8564981949458483,274.0541917212725,0.0,661.0,129.45,1,358.0,2.4776535620767164
1,0,255.0,200,2,4,0,-0.7108323318651762,0.259927797833935,267.85499808665134,0.0,-632.0,133.75,1,358.0,0.712290482896914
